Einwohner,Gesamtschulden,Jahr
79365000,538334,1990
79984000,599511,1991
80570000,686356,1992
81187000,769898,1993
81422000,848057,1994
81661000,1018767,1995
81896000,1082970,1996
82061000,1132442,1997
82024000,1165414,1998
82101000,1199582,1999
82213000,1210918,2000
82350000,1223503,2001
82489000,1277271,2002
82541000,1357723,2003
82517000,1429749,2004
82470000,1489853,2005
82377000,1545364,2006
82267000,1552371,2007
82110000,1577881,2008
81901000,1694368,2009
81751000,2011677,2010
80233000,2025438,2011
80399000,2068289,2012
80767000,2043344 ,2013
81198000,2043918,2014
82175700,2020704,2015
82521700,2009310,2016
82740900,1967385,2017
83019200,1914261,2018
